"H [meter]","ID [meter]","OD [meter]","winding_angle [deg]","WireD [mm]","Freq [GHz]","L_Leak [nH]","L_cm [nH]"
0.0185,0.0287,0.0431,110,2.053,0.00035,1125.46700537534,727521.965240304
0.0185,0.0287,0.0431,110,2.588,0.0001,1012.35503395907,1042857.50905267
0.0185,0.0287,0.0431,110,2.588,0.00035,1004.0834847638,727520.868396839
0.0185,0.0287,0.0431,110,2.906,0.0001,931.147801566695,1042855.85815827
0.0185,0.0287,0.0431,110,2.906,0.00035,922.093147912787,727519.247512695
0.0193,0.0305,0.0601,110,2.906,0.0001,1118.41330632165,1814779.76649499
0.0193,0.0305,0.0601,110,2.906,0.00035,1109.92486168613,1266027.11079746
0.021,0.024,0.0512,90,1.628,0.0001,1658.32617369606,2205825.9630053
0.021,0.024,0.0512,90,1.628,0.00035,1644.61292310132,1538842.11148862
0.021,0.024,0.0512,110,1.628,0.0001,1413.73987996456,2205783.05077119
0.021,0.024,0.0512,110,1.628,0.00035,1401.00576705123,1538798.33541457
0.021,0.024,0.0512,110,2.305,0.0001,1204.82427422644,2205785.95527268
0.021,0.024,0.0512,110,2.305,0.00035,1191.13362414335,1538798.37719837
0.021,0.025,0.0576,70,1.628,0.0001,2013.8121668639,2429973.56043821
0.021,0.025,0.0576,70,1.628,0.00035,1996.62606432113,1695241.07699629
0.021,0.025,0.0576,90,1.628,0.0001,1730.59770889999,2429877.51570977
0.021,0.025,0.0576,90,1.628,0.00035,1717.40370780966,1695145.81248558
0.021,0.025,0.0576,110,1.628,0.0001,1479.06574693746,2429832.44568691
0.021,0.025,0.0576,110,1.628,0.00035,1466.40561430624,1695099.98071125
0.021,0.025,0.0576,110,2.305,0.0001,1272.14456384786,2429838.02385583
0.021,0.025,0.0576,110,2.305,0.00035,1259.9123090529,1695101.74721864
0.021,0.025,0.0576,110,2.588,0.0001,1176.06027062604,2429838.16682013
0.021,0.025,0.0576,110,2.588,0.00035,1161.77530973046,1695101.54252974
0.0241,0.0377,0.0575,60,2.053,0.0001,2380.33622400601,1410536.46538109
0.0241,0.0377,0.0575,60,2.053,0.00035,2368.62080793621,984089.28906511
0.0241,0.0377,0.0575,70,2.053,0.0001,2208.4015715324,1410497.44560541
0.0241,0.0377,0.0575,70,2.053,0.00035,2198.65049837249,984042.480984109
0.0241,0.0377,0.0575,70,2.305,0.0001,2138.5127390477,1410464.47829829
0.0241,0.0377,0.0575,70,2.305,0.00035,2128.89495182323,984017.579087122
0.0241,0.0377,0.0575,90,2.053,0.0001,1898.53116891898,1410389.19502859
0.0241,0.0377,0.0575,90,2.053,0.00035,1890.37359629303,983936.984044466
0.0241,0.0377,0.0575,90,2.305,0.0001,1841.38632977374,1410366.1727086
0.0241,0.0377,0.0575,90,2.305,0.00035,1833.60716913757,983919.894577628
0.0241,0.0377,0.0575,90,2.588,0.0001,1774.2127125091,1410377.50874533
0.0241,0.0377,0.0575,90,2.588,0.00035,1766.78760685066,983926.587144455
0.0241,0.0377,0.0575,90,3.264,0.0001,1602.9772940316,1410357.04756194
0.0241,0.0377,0.0575,90,3.264,0.00035,1595.3607522301,983910.042672484
0.0241,0.0377,0.0575,110,2.053,0.0001,1619.44086337121,1410348.98087966
0.0241,0.0377,0.0575,110,2.053,0.00035,1611.72127577652,983893.782205287
0.0241,0.0377,0.0575,110,2.305,0.0001,1567.21869412523,1410316.4387634
0.0241,0.0377,0.0575,110,2.305,0.00035,1560.3324967911,983870.266097034
0.0241,0.0377,0.0575,110,2.588,0.0001,1507.12619708693,1410314.23914267
0.0241,0.0377,0.0575,110,2.588,0.00035,1500.47496511235,983868.082131113
0.0241,0.0377,0.0575,110,3.264,0.0001,1354.94906940508,1410311.71202714
0.0241,0.0377,0.0575,110,3.264,0.00035,1348.73363578715,983865.172825508
0.0241,0.0377,0.0575,110,3.665,0.0001,1256.90784412305,1410310.31626372
0.0241,0.0377,0.0575,110,3.665,0.00035,1250.94433719194,983863.475165431
0.0247,0.0547,0.0954,50,2.305,0.0001,3148.16522195255,1904948.30675967
0.0247,0.0547,0.0954,50,2.305,0.00035,3138.58010988372,1329050.09576032
0.0247,0.0547,0.0954,50,2.588,0.0001,3062.42515839712,1904935.36414346
0.0247,0.0547,0.0954,50,2.588,0.00035,3053.54353609505,1329037.29628797
0.0247,0.0547,0.0954,60,2.305,0.0001,2895.02067773034,1904853.66269971
0.0247,0.0547,0.0954,60,2.305,0.00035,2887.00177845264,1328956.39991099
0.0247,0.0547,0.0954,60,2.588,0.0001,2820.95425758115,1904848.52912679
0.0247,0.0547,0.0954,60,2.588,0.00035,2813.56464545414,1328950.66135578
0.0247,0.0547,0.0954,60,2.906,0.0001,2736.33700058301,1904837.35579619
0.0247,0.0547,0.0954,60,2.906,0.00035,2729.75749435644,1328940.05607581
0.0247,0.0547,0.0954,70,2.305,0.0001,2674.93573040358,1904771.96262964
0.0247,0.0547,0.0954,70,2.305,0.00035,2667.57910970588,1328875.01490935
0.0247,0.0547,0.0954,70,2.588,0.0001,2607.93364680389,1904794.06906118
0.0247,0.0547,0.0954,70,2.588,0.00035,2601.51856376655,1328888.32733707
0.0247,0.0547,0.0954,70,2.906,0.0001,2533.93826128637,1904777.30603491
0.0247,0.0547,0.0954,70,2.906,0.00035,2528.27196112877,1328874.16417989
0.0247,0.0547,0.0954,70,3.264,0.0001,2449.38866419765,1904765.99058635
0.0247,0.0547,0.0954,70,3.264,0.00035,2444.07909276266,1328864.10142565
0.0247,0.0547,0.0954,70,3.665,0.0001,2352.3130595677,1904743.23775235
0.0247,0.0547,0.0954,70,3.665,0.00035,2347.28634391061,1328845.51639555
0.0247,0.0547,0.0954,90,2.305,0.0001,2300.07873219686,1904677.5979167
0.0247,0.0547,0.0954,90,2.305,0.00035,2293.64849531399,1328771.79717479
0.0247,0.0547,0.0954,90,2.588,0.0001,2242.15757971036,1904672.93129395
0.0247,0.0547,0.0954,90,2.588,0.00035,2236.61869716491,1328767.02707643
0.0247,0.0547,0.0954,90,2.906,0.0001,2178.79348212547,1904638.23719516
0.0247,0.0547,0.0954,90,2.906,0.00035,2174.0651390069,1328741.31960873
0.0247,0.0547,0.0954,90,3.264,0.0001,2107.44387677207,1904635.97136084
0.0247,0.0547,0.0954,90,3.264,0.00035,2103.32793470939,1328738.1543282
0.0247,0.0547,0.0954,90,3.665,0.0001,2026.33349415118,1904630.3725825
0.0247,0.0547,0.0954,90,3.665,0.00035,2022.61755474486,1328732.9331012
0.0247,0.0547,0.0954,90,4.115,0.0001,1934.40817977196,1904625.66711023
0.0247,0.0547,0.0954,90,4.115,0.00035,1931.0746574362,1328728.13276861
0.0247,0.0547,0.0954,110,2.305,0.0001,1977.71809508675,1904640.08661256
0.0247,0.0547,0.0954,110,2.305,0.00035,1971.66018571786,1328726.18611905
0.0247,0.0547,0.0954,110,2.588,0.0001,1924.21239446778,1904583.26494133
0.0247,0.0547,0.0954,110,2.588,0.00035,1919.0305146792,1328685.65337217
0.0247,0.0547,0.0954,110,2.906,0.0001,1865.32909864754,1904624.92084597
0.0247,0.0547,0.0954,110,2.906,0.00035,1860.94020271853,1328713.38172988
0.0247,0.0547,0.0954,110,3.264,0.0001,1801.02144081978,1904573.62988648
0.0247,0.0547,0.0954,110,3.264,0.00035,1797.26151014111,1328676.67057628
0.0247,0.0547,0.0954,110,3.665,0.0001,1726.8348415358,1904571.39256377
0.0247,0.0547,0.0954,110,3.665,0.00035,1723.45958238935,1328674.17716283
0.0247,0.0547,0.0954,110,4.115,0.0001,1645.68832314537,1904585.12278349
0.0247,0.0547,0.0954,110,4.115,0.00035,1642.80366432045,1328682.85188213
0.0255,0.0446,0.0858,60,2.305,0.0001,2816.66885977686,2313206.4099997
0.0255,0.0446,0.0858,60,2.305,0.00035,2806.42553074266,1613826.12400545
0.0255,0.0446,0.0858,60,2.588,0.0001,2725.92529706008,2313198.18490888
0.0255,0.0446,0.0858,60,2.588,0.00035,2716.1200689233,1613817.47189858
0.0255,0.0446,0.0858,70,2.305,0.0001,2604.8180003534,2313142.15099917
0.0255,0.0446,0.0858,70,2.305,0.00035,2595.91639210791,1613757.0098939
0.0255,0.0446,0.0858,70,2.588,0.0001,2525.14526207061,2313118.40432481
0.0255,0.0446,0.0858,70,2.588,0.00035,2516.90363685259,1613738.11303526
0.0255,0.0446,0.0858,70,2.906,0.0001,2433.84566458279,2313110.64889766
0.0255,0.0446,0.0858,70,2.906,0.00035,2426.10464091165,1613729.98796797
0.0255,0.0446,0.0858,90,2.305,0.0001,2238.9437374886,2313015.10219462
0.0255,0.0446,0.0858,90,2.305,0.00035,2231.35401742074,1613631.55393571
0.0255,0.0446,0.0858,90,2.588,0.0001,2170.70001479964,2312998.00944097
0.0255,0.0446,0.0858,90,2.588,0.00035,2163.99241322645,1613618.07387105
0.0255,0.0446,0.0858,90,2.906,0.0001,2095.22988955741,2312994.70404572
0.0255,0.0446,0.0858,90,2.906,0.00035,2089.20183767389,1613614.07606329
0.0255,0.0446,0.0858,90,3.264,0.0001,2008.63368804264,2313021.90127664
0.0255,0.0446,0.0858,90,3.264,0.00035,2003.10594273889,1613631.80847126
0.0255,0.0446,0.0858,90,3.665,0.0001,1907.51581471788,2312988.89518865
0.0255,0.0446,0.0858,90,3.665,0.00035,1902.20531893342,1613607.22693956
0.0255,0.0446,0.0858,110,2.305,0.0001,1919.4761508688,2312950.45490742
0.0255,0.0446,0.0858,110,2.305,0.00035,1912.41340620088,1613567.69620146
0.0255,0.0446,0.0858,110,2.588,0.0001,1857.09873307549,2312936.193956
0.0255,0.0446,0.0858,110,2.588,0.00035,1851.00125106918,1613556.609913
0.0255,0.0446,0.0858,110,2.906,0.0001,1788.89355423215,2312934.01395386
0.0255,0.0446,0.0858,110,2.906,0.00035,1783.57966655254,1613554.00957783
0.0255,0.0446,0.0858,110,3.264,0.0001,1710.10810280491,2312932.31059438
0.0255,0.0446,0.0858,110,3.264,0.00035,1705.30984712614,1613551.69115355
0.0255,0.0446,0.0858,110,3.665,0.0001,1618.43919654798,2312931.4720964
0.0255,0.0446,0.0858,110,3.665,0.00035,1613.91863588351,1613550.07701267
0.0255,0.0446,0.0858,110,4.115,0.0001,1510.42198409738,2312931.5903587
0.0255,0.0446,0.0858,110,4.115,0.00035,1505.85695670289,1613549.71387021
0.0262,0.0368,0.0645,110,3.264,0.0001,1503.699590264,2038211.73591833
0.0262,0.0368,0.0645,110,3.264,0.00035,1497.04556878885,1421899.02828159
0.0262,0.0368,0.0645,110,3.665,0.0001,1391.02599934653,2038210.94159974
0.0262,0.0368,0.0645,110,3.665,0.00035,1384.05074213843,1421897.6199043
0.0265,0.0365,0.0675,90,2.588,0.0001,2015.44885614202,2258690.60569925
0.0265,0.0365,0.0675,90,2.588,0.00035,2006.87960762464,1575727.21145759
0.0265,0.0365,0.0675,110,2.588,0.0001,1713.59362869164,2258633.99218019
0.0265,0.0365,0.0675,110,2.588,0.00035,1706.08339121332,1575670.7907572
0.0265,0.0365,0.0675,110,3.264,0.0001,1537.79945813379,2258632.60417536
0.0265,0.0365,0.0675,110,3.264,0.00035,1530.88389268793,1575668.2777569
0.0265,0.0365,0.0675,110,3.665,0.0001,1420.32081504864,2258635.46849529
0.0265,0.0365,0.0675,110,3.665,0.00035,1412.96690719002,1575669.97056713
0.0266,0.036,0.0653,110,3.264,0.0001,1518.20526569247,2195840.79415755
0.0266,0.036,0.0653,110,3.264,0.00035,1511.19390757031,1531863.46368825
0.0266,0.036,0.0653,110,3.665,0.0001,1399.02482855294,2195830.70783786
0.0266,0.036,0.0653,110,3.665,0.00035,1391.8254519389,1531855.84745343
0.0286,0.0465,0.0673,60,2.305,0.0001,2854.52792545964,1466095.27925651
0.0286,0.0465,0.0673,60,2.305,0.00035,2844.60916108919,1022863.1341114
0.0286,0.0465,0.0673,60,2.588,0.0001,2769.80958380539,1466086.58740503
0.0286,0.0465,0.0673,60,2.588,0.00035,2760.4730646239,1022854.58335057
0.0286,0.0465,0.0673,70,2.305,0.0001,2646.90696809465,1466018.24823597
0.0286,0.0465,0.0673,70,2.305,0.00035,2638.4070583792,1022786.62467987
0.0286,0.0465,0.0673,70,2.588,0.0001,2572.6674103219,1466011.60559486
0.0286,0.0465,0.0673,70,2.588,0.00035,2564.69255047959,1022779.79484061
0.0286,0.0465,0.0673,70,2.906,0.0001,2487.17017403048,1466003.70921897
0.0286,0.0465,0.0673,70,2.906,0.00035,2479.49755968588,1022771.77397931
0.0286,0.0465,0.0673,90,2.305,0.0001,2276.07030950333,1465898.36834111
0.0286,0.0465,0.0673,90,2.305,0.00035,2268.77842508497,1022667.04468178
0.0286,0.0465,0.0673,90,2.588,0.0001,2214.11534121423,1465894.71847828
0.0286,0.0465,0.0673,90,2.588,0.00035,2207.44220987922,1022663.33461863
0.0286,0.0465,0.0673,90,2.906,0.0001,2142.83949075935,1465891.28597051
0.0286,0.0465,0.0673,90,2.906,0.00035,2136.91016335678,1022659.78516284
0.0286,0.0465,0.0673,90,3.264,0.0001,2062.13209529147,1465886.94229142
0.0286,0.0465,0.0673,90,3.264,0.00035,2056.59304078498,1022655.26806514
0.0286,0.0465,0.0673,90,3.665,0.0001,1966.82561932221,1465882.67136442
0.0286,0.0465,0.0673,90,3.665,0.00035,1961.57941702934,1022650.73937278
0.0286,0.0465,0.0673,110,2.305,0.0001,1943.077199506,1465837.008563
0.0286,0.0465,0.0673,110,2.305,0.00035,1936.27663651674,1022605.88495485
0.0286,0.0465,0.0673,110,2.588,0.0001,1885.99070563582,1465834.79147601
0.0286,0.0465,0.0673,110,2.588,0.00035,1880.08408322401,1022603.53023743
0.0286,0.0465,0.0673,110,2.906,0.0001,1822.07343804868,1465832.6748257
0.0286,0.0465,0.0673,110,2.906,0.00035,1816.66036297006,1022601.36194853
0.0286,0.0465,0.0673,110,3.264,0.0001,1749.23544857643,1465830.70095606
0.0286,0.0465,0.0673,110,3.264,0.00035,1744.33741807169,1022599.21369098
0.0286,0.0465,0.0673,110,3.665,0.0001,1664.88632925889,1465829.36225154
0.0286,0.0465,0.0673,110,3.665,0.00035,1660.48122045961,1022597.66640501
0.0286,0.0465,0.0673,110,4.115,0.0001,1562.96769283884,1465866.1718665
0.0286,0.0465,0.0673,110,4.115,0.00035,1558.75011995022,1022622.87927841
0.0296,0.075,0.1055,50,2.906,0.0001,3642.47034242688,1400628.60355861
0.0296,0.075,0.1055,50,2.906,0.00035,3635.72306882377,977244.0495692
0.0296,0.075,0.1055,50,3.264,0.0001,3551.94825634373,1400616.67740008
0.0296,0.075,0.1055,50,3.264,0.00035,3545.96043203068,977232.060191375
0.0296,0.075,0.1055,50,3.665,0.0001,3451.29152523369,1400602.98441067
0.0296,0.075,0.1055,50,3.665,0.00035,3445.66404150028,977218.342267126
0.0296,0.075,0.1055,60,2.906,0.0001,3357.0638520612,1400527.77341701
0.0296,0.075,0.1055,60,2.906,0.00035,3351.46747546839,977143.62341312
0.0296,0.075,0.1055,60,3.264,0.0001,3279.16940974005,1400518.32828544
0.0296,0.075,0.1055,60,3.264,0.00035,3274.26698727983,977134.179127686
0.0296,0.075,0.1055,60,3.665,0.0001,3193.73806444249,1400509.27273944
0.0296,0.075,0.1055,60,3.665,0.00035,3189.41548626474,977124.9419946
0.0296,0.075,0.1055,60,4.115,0.0001,3093.66893242385,1400545.12103943
0.0296,0.075,0.1055,60,4.115,0.00035,3089.57266160272,977146.449885984
0.0296,0.075,0.1055,70,2.906,0.0001,3105.25678353363,1400435.99413494
0.0296,0.075,0.1055,70,2.906,0.00035,3100.28176358701,977051.900785925
0.0296,0.075,0.1055,70,3.264,0.0001,3035.51996906061,1400429.11822117
0.0296,0.075,0.1055,70,3.264,0.00035,3031.25739067672,977045.123482367
0.0296,0.075,0.1055,70,3.665,0.0001,2958.23986155972,1400420.90789154
0.0296,0.075,0.1055,70,3.665,0.00035,2954.4200887151,977036.797562443
0.0296,0.075,0.1055,70,4.115,0.0001,2871.48271518945,1400422.51974106
0.0296,0.075,0.1055,70,4.115,0.00035,2868.11678519013,977035.48978039
0.0296,0.075,0.1055,90,2.906,0.0001,2669.50201110386,1400294.29641603
0.0296,0.075,0.1055,90,2.906,0.00035,2665.2520854939,976910.564574359
0.0296,0.075,0.1055,90,3.264,0.0001,2609.02193697374,1400289.17240569
0.0296,0.075,0.1055,90,3.264,0.00035,2605.31752648616,976905.398414992
0.0296,0.075,0.1055,90,3.665,0.0001,2543.69122119015,1400284.67270822
0.0296,0.075,0.1055,90,3.665,0.00035,2540.55640420775,976900.881776908
0.0296,0.075,0.1055,100,3.665,0.0001,2350.42409558074,1400235.23804848
0.0296,0.075,0.1055,100,3.665,0.00035,2347.32511056515,976852.919293293
0.0296,0.075,0.1055,110,2.906,0.0001,2289.01706464725,1400221.06768809
0.0296,0.075,0.1055,110,2.906,0.00035,2284.98276800404,976837.460092266
0.0296,0.075,0.1055,110,3.264,0.0001,2233.24281540105,1400216.98116614
0.0296,0.075,0.1055,110,3.264,0.00035,2229.78321215204,976833.302003037
0.0296,0.075,0.1055,110,3.665,0.0001,2173.50271133317,1400213.5331875
0.0296,0.075,0.1055,110,3.665,0.00035,2170.59637700204,976829.904345636
0.0296,0.075,0.1055,110,4.115,0.0001,2107.3032955329,1400252.75698806
0.0296,0.075,0.1055,110,4.115,0.00035,2104.87739866435,976855.941181943
0.0303,0.07,0.1081,50,2.588,0.0001,3822.63907884473,1825907.02614251
0.0303,0.07,0.1081,50,2.588,0.00035,3814.6729909362,1273934.53294269
0.0303,0.07,0.1081,50,2.906,0.0001,3733.71532394438,1825817.27821375
0.0303,0.07,0.1081,50,2.906,0.00035,3726.70027600255,1273868.07991429
0.0303,0.07,0.1081,50,3.264,0.0001,3632.10430525956,1825804.50464412
0.0303,0.07,0.1081,50,3.264,0.00035,3625.58919779382,1273855.26497414
0.0303,0.07,0.1081,60,2.588,0.0001,3516.25538306628,1825835.72176254
0.0303,0.07,0.1081,60,2.588,0.00035,3509.51335225347,1273852.34186748
0.0303,0.07,0.1081,60,2.906,0.0001,3439.77916272338,1825759.38467617
0.0303,0.07,0.1081,60,2.906,0.00035,3433.80589264306,1273796.1414485
0.0303,0.07,0.1081,60,3.264,0.0001,3353.63754235391,1825701.95080746
0.0303,0.07,0.1081,60,3.264,0.00035,3348.36099927719,1273752.95865666
0.0303,0.07,0.1081,60,3.665,0.0001,3257.43979865806,1825694.58000973
0.0303,0.07,0.1081,60,3.665,0.00035,3252.67662374127,1273744.44187776
0.0303,0.07,0.1081,70,2.588,0.0001,3249.49820302439,1825714.37624902
0.0303,0.07,0.1081,70,2.588,0.00035,3243.2562455047,1273738.0415271
0.0303,0.07,0.1081,70,2.906,0.0001,3180.53079431875,1825618.76348967
0.0303,0.07,0.1081,70,2.906,0.00035,3175.05432974174,1273669.14389789
0.0303,0.07,0.1081,70,3.264,0.0001,3102.55720333297,1825608.05733281
0.0303,0.07,0.1081,70,3.264,0.00035,3097.82718635374,1273659.2339793
0.0303,0.07,0.1081,70,3.665,0.0001,3018.03166794997,1825622.19425459
0.0303,0.07,0.1081,70,3.665,0.00035,3014.09904960001,1273666.49182015
0.0303,0.07,0.1081,70,4.115,0.0001,2919.99613416965,1825590.4047639
0.0303,0.07,0.1081,70,4.115,0.00035,2916.37004692722,1273641.43480106
0.0303,0.07,0.1081,90,2.588,0.0001,2794.45752083487,1825546.0012115
0.0303,0.07,0.1081,90,2.588,0.00035,2789.05431958303,1273576.31478549
0.0303,0.07,0.1081,90,2.906,0.0001,2733.99069667748,1825504.91537829
0.0303,0.07,0.1081,90,2.906,0.00035,2729.46114862862,1273545.67594812
0.0303,0.07,0.1081,90,3.264,0.0001,2668.72437114697,1825464.01655428
0.0303,0.07,0.1081,90,3.264,0.00035,2664.89952089642,1273515.48362002
0.0303,0.07,0.1081,90,3.665,0.0001,2595.04995627361,1825468.24240024
0.0303,0.07,0.1081,90,3.665,0.00035,2591.7365643108,1273516.74449947
0.0303,0.07,0.1081,90,4.115,0.0001,2513.34531779708,1825453.4742773
0.0303,0.07,0.1081,90,4.115,0.00035,2510.56037653214,1273504.65144882
0.0303,0.07,0.1081,110,2.588,0.0001,2402.37521599709,1825423.6064135
0.0303,0.07,0.1081,110,2.588,0.00035,2397.31928339559,1273467.54826931
0.0303,0.07,0.1081,110,2.906,0.0001,2345.76117407902,1825407.29840058
0.0303,0.07,0.1081,110,2.906,0.00035,2341.50603666581,1273454.77376975
0.0303,0.07,0.1081,110,3.264,0.0001,2284.8366986321,1825388.93658955
0.0303,0.07,0.1081,110,3.264,0.00035,2281.34657702121,1273440.66605133
0.0303,0.07,0.1081,110,3.665,0.0001,2218.12587480169,1825436.13962994
0.0303,0.07,0.1081,110,3.665,0.00035,2215.17310092345,1273472.23669176
0.0303,0.07,0.1081,110,4.115,0.0001,2142.75325375618,1825381.7286756
0.0303,0.07,0.1081,110,4.115,0.00035,2140.16908430948,1273433.09810314
