"H [meter]","ID [meter]","OD [meter]","winding_angle [deg]","WireD [mm]","Freq [GHz]","L_Leak [nH]","L_cm [nH]"
0.0102,0.0103,0.0226,110,1.024,0.0001,595.901966461652,1111144.16376119
0.0102,0.0103,0.0226,110,1.024,0.00035,568.316117333063,775154.600747329
0.0125,0.0136,0.0279,110,1.291,0.0001,722.655372502126,1245162.39383964
0.0125,0.0136,0.0279,110,1.291,0.00035,702.914632635963,868649.111948824
0.0125,0.0176,0.0328,110,1.628,0.0001,724.769547028293,1078765.53857823
0.0125,0.0176,0.0328,110,1.628,0.00035,710.528087905215,752568.474373632
0.0178,0.0175,0.0328,110,1.628,0.0001,985.11737811766,1550218.83401177
0.0178,0.0175,0.0328,110,1.628,0.00035,967.380113826634,1081462.65575342
0.0182,0.0264,0.0483,70,1.628,0.0001,1697.06760589091,1524218.15761813
0.0182,0.0264,0.0483,70,1.628,0.00035,1683.57967959851,1063363.26261209
0.0182,0.0264,0.0483,90,1.628,0.0001,1458.55274095811,1524137.85444905
0.0182,0.0264,0.0483,90,1.628,0.00035,1447.84339156989,1063283.64059856
0.0182,0.0264,0.0483,90,1.828,0.0001,1405.89187074494,1524137.92269692
0.0182,0.0264,0.0483,90,1.828,0.00035,1395.39828824979,1063282.71118525
0.0182,0.0264,0.0483,110,1.628,0.0001,1244.13445860897,1524098.64362832
0.0182,0.0264,0.0483,110,1.628,0.00035,1234.10593945547,1063244.19212108
0.0182,0.0264,0.0483,110,1.828,0.0001,1196.77973425257,1524098.13340724
0.0182,0.0264,0.0483,110,1.828,0.00035,1186.99619562791,1063243.17278726
0.0182,0.0264,0.0483,110,2.305,0.0001,1077.7362412854,1524096.46209
0.0182,0.0264,0.0483,110,2.305,0.00035,1068.01258680829,1063240.78983707
0.0182,0.0264,0.0483,110,2.588,0.0001,1001.30434472634,1524097.99282269
0.0182,0.0264,0.0483,110,2.588,0.00035,990.796557931286,1063241.88038764
0.0185,0.0225,0.0431,110,2.053,0.0001,1064.95436567018,1667039.38693567
0.0185,0.0225,0.0431,110,2.053,0.00035,1051.48550215287,1162959.35294204
0.0185,0.0225,0.0431,110,2.305,0.0001,985.632543279627,1667038.86267494
0.0185,0.0225,0.0431,110,2.305,0.00035,970.992370853647,1162958.91721632
0.0185,0.0287,0.0431,70,1.828,0.0001,1614.64987585271,1042971.3420757
0.0185,0.0287,0.0431,70,1.828,0.00035,1602.66741945323,727634.27933796
0.0185,0.0287,0.0431,90,1.828,0.0001,1390.01053328626,1042897.53909028
0.0185,0.0287,0.0431,90,1.828,0.00035,1380.53217060436,727561.288718441
0.0185,0.0287,0.0431,90,2.053,0.0001,1336.62855998016,1042894.90348381
0.0185,0.0287,0.0431,90,2.053,0.00035,1327.08454960156,727558.396742901
0.0185,0.0287,0.0431,110,1.828,0.0001,1182.56458282456,1042859.63848429
0.0185,0.0287,0.0431,110,1.828,0.00035,1173.84681362264,727523.577172572
0.0185,0.0287,0.0431,110,2.053,0.0001,1133.98993030655,1042858.26657315
